Ausgewählte Bildungsindikatoren im internationalen Vergleich, 2018;;;;;;;;;;;T 15.01.00.01
;Österreich;Dänemark;Frankreich;Deutschland;Italien;Niederlände;Schweden;Schweiz;Vereinigtes Königreich ;USA;OECD Mittel
Bildungsbeteiligung ;;;;;;;;;;;
Schulbesuchsquoten der 15-19-Jährigen ;  78.8 ;  86.3 ;  87.0 ;  86.4 ;  85.3 ;  92.5 ;  89.7 ;  84.9 ;  83.3 ;  83.7 ;  84.1 
Schulbesuchsquoten der 20-24-Jährigen ;  35.0 ;  53.1 ;  38.2 ;  49.3 ;  37.4 ;  53.3 ;  45.3 ;  40.1 ;  31.5 ;  36.3 ;  41.5 
Resultaten und Wirkungen;;;;;;;;;;;
Höchste abgeschlossene Ausbildung ;;;;;;;;;;;
der 25-34-Jährigen 1;;;;;;;;;;;
obligatorische Schule;  11.1 ;  17.4 ;  13.0 ;  13.0 ;  24.1 ;  12.9 ;  17.3 ;  7.1 ;  15.1 ;  7.6 ;  15.0 
Sekundarstufe II;  48.4 ;  37.8 ;  40.1 ;  54.7 ;  48.1 ;  39.5 ;  35.2 ;  41.7 ;  34.2 ;  43.1 ;  41.1 
Tertiärstufe;  40.5 ;  44.8 ;  46.9 ;  32.3 ;  27.7 ;  47.6 ;  47.5 ;  51.2 ;  50.8 ;  49.4 ;  44.3 
Durchschnittliche Jahreserwerbseinkommen;;;;;;;;;;;
(Vollzeit) der 25-64-jährigen Frauen;;;;;;;;;;;
in % derjenigen gleichaltriger Männer;;;;;;;;;;;
(mit Abschluss auf Tertiärstufe) 2;  71.7 ;  75.8 ;  72.3 ;  74.2 ;  68.3 ;  77.2 ;  78.5 ;  78.9 ;  77.1 ;  71.5 ;  75.0 
1 Angaben 2019;;;;;;;;;;;
2 Angaben 2016 für Frankreich und Italien;;;;;;;;;;;
Quelle: Organisation für wirtschaftliche Zusammenarbeit und Entwicklung (OECD);;;;;;;;;;;
© BFS – Statistisches Lexikon der Schweiz 2020;;;;;;;;;;;
;;;;;;;;;;;
Auskunft: EducIndicators@bfs.admin.ch;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
